rank,zdock_score,dockq
976,573.766,0.019
977,573.667,0.011
978,573.608,0.016
979,573.579,0.008
980,573.51,0.009
981,573.495,0.011
982,573.46,0.01
983,573.374,0.016
984,573.002,0.018
985,572.879,0.01
986,572.863,0.034
987,572.84,0.008
988,572.752,0.012
989,572.266,0.023
990,572.258,0.012
991,572.206,0.014
992,572.088,0.012
993,572.065,0.01
994,572.039,0.008
995,572.012,0.021
996,571.965,0.016
997,571.958,0.018
998,571.793,0.01
999,571.66,0.019
1000,571.601,0.009
